income,utilization,age,default,batch_date
50214.317287265156,0.12080280118283392,41,0,2025-12-04
63939.41550194731,0.05664759981282428,47,0,2025-12-04
81035.22734902256,0.19948874906113973,23,0,2025-12-04
70089.44865602322,0.22014269397558325,57,0,2025-12-04
44832.55307986233,0.4627214633771066,60,0,2025-12-04
49889.986399301175,0.464663931846843,57,0,2025-12-04
79966.75055852924,0.26293161906792084,36,0,2025-12-04
72946.230203537,0.18324295681290034,64,0,2025-12-04
47607.390356827316,0.0779176564571376,47,0,2025-12-04
69630.18719587292,0.08118897808178885,43,0,2025-12-04
54070.20741261713,0.1602388760801455,47,0,2025-12-04
76784.73231822849,0.40335165406763535,25,0,2025-12-04
63392.02288220939,0.29677169387888325,41,1,2025-12-04
78484.2984430475,0.21931202545445141,30,0,2025-12-04
77011.86574662034,0.1261348551090783,35,0,2025-12-04
45659.49666736561,0.42466811038412616,61,0,2025-12-04
54548.659761541814,0.3856382503956061,30,0,2025-12-04
56443.05784360918,0.04253372719406292,21,0,2025-12-04
78581.41613049663,0.05764625716447795,41,0,2025-12-04
51732.53130535578,0.6367403694747477,39,0,2025-12-04
93397.73501239566,0.32205441371653354,22,0,2025-12-04
74679.57094032418,0.13210937723673624,59,0,2025-12-04
76571.42836742256,0.1396442757377767,38,0,2025-12-04
42398.51046408089,0.200187024184994,49,0,2025-12-04
53693.28796431394,0.2556578118521559,55,0,2025-12-04
71900.27560198357,0.40573573684891767,33,0,2025-12-04
51687.701040344444,0.4988898613379994,60,0,2025-12-04
52656.93022059761,0.19593252441209166,37,0,2025-12-04
67307.58807975899,0.19806255926974728,34,0,2025-12-04
74129.03956591799,0.23773232538520092,37,0,2025-12-04
76113.26696129885,0.1168675917900051,26,0,2025-12-04
79524.85961750081,0.026989868503823393,38,0,2025-12-04
79794.06341299713,0.5080641858116685,32,0,2025-12-04
66747.1126972353,0.29036971106336606,36,0,2025-12-04
72623.10717580006,0.20940821291198053,43,0,2025-12-04
55729.03497958286,0.3927323182063697,27,0,2025-12-04
49488.432102871506,0.1088267120497319,24,0,2025-12-04
54441.35733962483,0.31002354667796767,33,0,2025-12-04
60469.98098074168,0.06732569027058022,26,0,2025-12-04
46341.5293019027,0.4450414844219767,61,0,2025-12-04
51475.73438988046,0.6393249973601657,45,0,2025-12-04
68479.79332231364,0.27680291932567236,52,0,2025-12-04
79437.70661876195,0.05456282947694422,48,0,2025-12-04
65141.95137378249,0.07829823415735884,22,0,2025-12-04
57758.062093541535,0.5273053847783835,47,0,2025-12-04
49102.31921706104,0.1852662802743768,46,0,2025-12-04
57292.29284382406,0.29094204132427237,50,0,2025-12-04
62003.035331894076,0.07994469427026855,46,0,2025-12-04
44432.19186455028,0.3924954817879136,47,0,2025-12-04
71717.50994143063,0.6175162700795994,64,0,2025-12-04
46443.46640587689,0.40994367863075354,58,0,2025-12-04
71064.03093462922,0.3992922314255728,28,0,2025-12-04
28468.9285067763,0.16137873705304268,57,0,2025-12-04
63540.2130901236,0.05487495308920477,58,0,2025-12-04
57120.98224314374,0.3464347018763026,28,0,2025-12-04
41402.91105071369,0.17740548854496763,52,0,2025-12-04
74557.66299542617,0.32686750915793084,33,0,2025-12-04
48548.81817440318,0.10102476477294776,33,0,2025-12-04
64241.36697360257,0.20014610581808842,61,0,2025-12-04
67476.67217041855,0.2785882074609577,54,0,2025-12-04
63266.3909917078,0.3437979524280484,48,0,2025-12-04
67828.67377142931,0.575912788888403,61,0,2025-12-04
57150.258877020904,0.23851575282845888,34,0,2025-12-04
58294.2118890886,0.2130316460382275,62,0,2025-12-04
74879.15583277938,0.5024380898778003,54,0,2025-12-04
33255.62585024167,0.529581041903443,55,0,2025-12-04
63824.30810654822,0.14718087085043732,56,0,2025-12-04
49452.33057648275,0.391466731773128,23,0,2025-12-04
61789.52258278235,0.22636486148871357,34,0,2025-12-04
58982.25257452539,0.36390536699467085,45,1,2025-12-04
69226.37046819863,0.17929147828135764,30,0,2025-12-04
65733.89096889012,0.3846974117111847,43,0,2025-12-04
65387.00167426932,0.18671412313529248,62,0,2025-12-04
65568.22582390685,0.40461293606046983,43,0,2025-12-04
69035.65630530287,0.0744951167704702,61,0,2025-12-04
75312.76023315769,0.5801866334614284,49,0,2025-12-04
70892.49455429104,0.07025936035492436,46,0,2025-12-04
62835.199830286525,0.29983387957201824,64,0,2025-12-04
79898.68132567932,0.19729225335637,62,0,2025-12-04
40424.68163164205,0.21010366377455586,45,0,2025-12-04
71136.6910675169,0.23342968432758274,22,0,2025-12-04
25620.235950097405,0.43596844428168874,47,0,2025-12-04
56154.11211528519,0.026111218398212788,57,0,2025-12-04
92975.86160186365,0.2823601396116467,27,0,2025-12-04
64973.24063777642,0.633113476125507,60,0,2025-12-04
42900.56943331056,0.6586436927231535,33,0,2025-12-04
39371.04488071239,0.3867802163348777,39,0,2025-12-04
47104.43186558037,0.17298014798993797,32,0,2025-12-04
66732.51555912127,0.4115897931301868,25,0,2025-12-04
61433.57107444163,0.45935954607731555,54,0,2025-12-04
79981.10946845583,0.18054642032960982,56,0,2025-12-04
73085.26055192364,0.42077296210037723,31,0,2025-12-04
52036.40240077984,0.1998242993180502,43,0,2025-12-04
62151.309409363545,0.32651499333790784,34,0,2025-12-04
54570.60572860094,0.6429289653656253,23,1,2025-12-04
44252.29272245003,0.17998203949084432,59,0,2025-12-04
58431.02127202245,0.31144588938948903,64,0,2025-12-04
69672.14723354246,0.17402214855946163,31,0,2025-12-04
47842.56034627942,0.32329824450214584,64,0,2025-12-04
74694.82981044927,0.1438932968765086,45,0,2025-12-04
44333.91650565424,0.15363695130306268,47,0,2025-12-04
62272.9650264586,0.3092001122583678,46,0,2025-12-04
44306.32911818521,0.48699225395484963,52,0,2025-12-04
52009.10678743523,0.2850334051719088,35,0,2025-12-04
72901.03171497304,0.2708263780975079,45,0,2025-12-04
89002.91562571036,0.40922184364832437,49,0,2025-12-04
76211.98289488126,0.5465228493772796,40,0,2025-12-04
73534.74292793256,0.3717184565512595,26,0,2025-12-04
69506.49670551145,0.16617986835717657,59,0,2025-12-04
64578.94347713619,0.16827612015222584,54,0,2025-12-04
55257.1555327693,0.34424062478618556,57,0,2025-12-04
63193.556944908494,0.4028757166717355,26,0,2025-12-04
92330.12916025607,0.14351375993637763,38,0,2025-12-04
37724.51916565218,0.17046930940525398,46,0,2025-12-04
68327.32262517896,0.0545711334782868,50,0,2025-12-04
59262.733912947995,0.23272887892496463,61,0,2025-12-04
26746.040445580875,0.35033947567351104,42,0,2025-12-04
79029.25952070183,0.08691360229759987,61,0,2025-12-04
48609.030044897205,0.5466291143461203,25,0,2025-12-04
84656.05374851658,0.09829548483532079,62,0,2025-12-04
72651.61721413337,0.45432169753488877,44,0,2025-12-04
57231.79634654338,0.42411383018998783,26,0,2025-12-04
88248.46774717575,0.45930856558194727,30,0,2025-12-04
63977.64077256341,0.4026589259361888,21,0,2025-12-04
53571.42960843965,0.02525564060255576,51,0,2025-12-04
63696.987774520494,0.5394512253759174,61,0,2025-12-04
56514.37191903848,0.1127938782392535,40,0,2025-12-04
52959.25650867767,0.10356889940966053,42,0,2025-12-04
89663.01773357013,0.23163669799919986,36,0,2025-12-04
48562.88779634984,0.36441824174884335,55,0,2025-12-04
28175.001057247537,0.1527909245622599,44,0,2025-12-04
64228.28644694755,0.24531978414189082,31,0,2025-12-04
92577.9084488239,0.1565134278544858,57,0,2025-12-04
81430.77727597329,0.32044551335884086,45,0,2025-12-04
82046.11811192332,0.23311640068267164,27,0,2025-12-04
68197.0480004673,0.4596458267953754,22,0,2025-12-04
76371.01594123975,0.3070545261028062,49,0,2025-12-04
67964.07713549047,0.4742010103150389,62,1,2025-12-04
64286.22210778069,0.36801794279619754,54,0,2025-12-04
59671.63983267374,0.5006030548734355,42,0,2025-12-04
54770.53517360129,0.3562541253168151,38,0,2025-12-04
51336.97191023621,0.4327246236786002,34,0,2025-12-04
41579.08449941932,0.0752994772452362,58,0,2025-12-04
56436.042683555344,0.2848735809446214,42,0,2025-12-04
64818.08070132173,0.23490074436442895,55,0,2025-12-04
79709.82254729954,0.2502197510517693,59,0,2025-12-04
75144.33767465682,0.7139199980782029,51,0,2025-12-04
75272.05236957618,0.4318745085784841,63,0,2025-12-04
79399.94438828006,0.5664029470426106,60,0,2025-12-04
48475.447794086445,0.3982063411159814,57,0,2025-12-04
82328.96672069498,0.7208441669635004,43,0,2025-12-04
66915.79483398689,0.5824793158481748,53,0,2025-12-04
66167.12167525238,0.2191945243533521,41,0,2025-12-04
63280.784288190065,0.38188083221942737,21,0,2025-12-04
64197.880722435926,0.24672196205862673,21,0,2025-12-04
67525.40992549765,0.14469645279033114,29,0,2025-12-04
58623.1471560117,0.10558257737196876,56,0,2025-12-04
78399.40538292943,0.35330373094899736,22,0,2025-12-04
86148.64402546796,0.3223615719506775,50,0,2025-12-04
96111.69471459021,0.2924705001445262,63,0,2025-12-04
69610.63216539861,0.19641971958410914,50,0,2025-12-04
34394.691190798556,0.28732373061939226,39,0,2025-12-04
67501.63692534124,0.13031808385696078,24,0,2025-12-04
60632.94169338742,0.12634424477450426,37,0,2025-12-04
67241.85298143869,0.1690716411488068,25,0,2025-12-04
52898.615724345065,0.12807124523282956,39,0,2025-12-04
44883.49555237176,0.10631414447704424,47,0,2025-12-04
50324.87640688613,0.28483832285461336,40,0,2025-12-04
56029.927516914795,0.30223209422917957,41,0,2025-12-04
